Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
76	92.48957	73.20626	223.36615	-6.593126	513.0	11.171039	7.9246807	45.02602	-25.252388	308000	-4.172325e-09	173.33011	-0.010008296	-65.89558	0.5947953	0.020663684	0.26125	4.0	1024.721548318863
77	50.298416	38.479256	171.00099	5.6416206	241.25	16.031069	7.2522945	42.301502	-7.441277	312000	4.2915342e-09	251.52724	-0.010203504	-112.09291	0.59109014	0.015153931	0.1375	3.0	1039.7992215156555
78	38.316223	42.487858	193.01091	3.3216634	232.11765	12.561336	10.524188	38.79865	-30.79453	316000	-2.026558e-09	192.35481	-0.008170768	-68.39939	0.58836436	0.022246476	0.334	4.0	1053.9928331375122
79	55.991917	49.797703	168.72917	-3.3491325	307.07693	11.84261	6.0738673	35.47775	-17.344158	320000	-4.6491624e-09	116.84064	-0.01091847	-30.189903	0.5846943	0.020658867	0.2785	4.0	1069.7815902233124
80	45.532215	54.380375	149.26736	-15.531968	336.55554	8.030479	7.5884905	32.08339	-13.57671	324000	1.9073487e-09	199.29308	-0.0096842935	-76.79311	0.581207	0.019625233	0.2555	4.0	1085.8241488933563
81	86.47264	75.121666	217.91339	-25.097702	470.0	14.681671	9.62011	41.052723	-11.078135	328000	-5.4836273e-09	173.58575	-0.0105277365	-51.952744	0.5780772	0.023102472	0.2995	4.0	1099.4129571914673
82	63.02779	50.92358	136.75691	-2.5539067	242.15384	15.472904	10.78397	40.21661	-16.73801	332000	-2.9563903e-08	205.42398	-0.013541903	-68.67825	0.5750082	0.01812872	0.29525	5.0	1115.1908655166626
83	113.80024	101.24648	284.28772	-12.830724	424.44446	20.073633	5.919318	44.76616	-11.312822	336000	-1.168251e-08	213.39218	-0.009747352	-105.332504	0.57101613	0.018682605	0.272	4.0	1128.839426279068
84	166.43314	75.58188	242.98813	38.118916	720.6	21.472515	7.9696913	48.65352	-5.572057	340000	9.536743e-09	142.55724	-0.011029033	-56.15116	0.56755847	0.022166828	0.2785	4.0	1144.0692188739777
85	62.94895	71.09682	214.30594	-22.169968	323.72726	22.13522	11.003273	55.46701	-8.927351	344000	1.5497207e-08	344.81497	-0.06422815	-215.45702	0.56397384	0.01505826	0.308	70.0	1161.4569065570831
86	122.348465	76.409904	260.743	40.625053	416.5	17.93781	5.191263	32.25656	-5.3283467	348000	2.1994113e-08	118.37226	-0.014642254	-57.78124	0.5550748	0.017352793	0.313	5.0	1175.2606649398804
87	98.40454	67.61283	234.60484	16.726868	314.66666	22.141016	5.857036	42.09813	-0.84964037	352000	-1.5497207e-08	108.113686	-0.011166424	-23.388031	0.55331385	0.01664092	0.25675	4.0	1188.6259722709656
88	104.93324	101.01472	322.07666	1.377971	412.55554	21.303312	6.847853	44.10267	-0.07278269	356000	-2.2411346e-08	265.92813	-0.008624762	-107.03073	0.5508451	0.015091708	0.1745	3.0	1203.92400431633
89	197.24672	59.20504	284.54803	141.44489	875.25	20.925245	10.553443	62.724857	-13.671808	360000	1.3828277e-08	143.33035	-0.007594136	-50.087532	0.5487278	0.021730972	0.29175	3.0	1217.5780231952667
90	115.37572	86.83099	262.8597	36.062103	430.625	23.08315	6.75406	49.094692	3.7798874	364000	-1.680851e-08	116.92216	-0.006500741	-42.18782	0.54643595	0.01571256	0.223	3.0	1231.1533133983612
91	248.50827	48.96016	328.09573	199.38455	1000.0	19.605848	5.273583	44.340343	-0.002799578	368000	-9.894371e-09	130.24428	-0.0089236405	-62.94864	0.5439758	0.01884762	0.199	3.0	1244.4411811828613
92	105.865295	90.9776	252.12256	1.3659354	460.625	23.062462	9.1261835	52.233803	-7.8859644	372000	-2.5987624e-08	156.18997	-0.008158471	-89.538734	0.5416912	0.017300427	0.25025	4.0	1260.0945196151733
93	120.07138	100.67678	267.19162	28.858402	377.1111	20.818325	6.0772176	52.20374	-2.9801767	376000	-4.529953e-09	180.08347	-0.07011926	-60.8124	0.5385264	0.015377619	0.342	66.0	1276.3401980400085
94	108.107765	106.098305	294.4962	7.3387604	315.25	26.811438	5.0573316	47.36366	7.767995	380000	6.198883e-09	118.82522	-0.0152064795	-44.44689	0.5248951	0.023264613	0.2895	4.0	1290.214231967926
95	168.69627	103.91518	274.56577	13.269923	628.3333	23.490316	5.6358643	50.31698	1.4363036	384000	4.768372e-10	83.3805	-0.010522543	-19.356117	0.5237952	0.020732163	0.274	4.0	1303.8294064998627
